category,product,star,comments
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,nhân viên chăm sóc chu đáo nhiệt tình tặng 5 sao nhé
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,cảm ơn các bạn j đã cho chúng tôi một sản phẩm tốt
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,san pham dung rat tot toi rat thich
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,pin sạc nổi ipad rất tốt
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,ok
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,rất tốt
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,ok
sac-dtdd,pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,5,tốt
sac-dtdd,pin-sac-du-phong-polymer-10000mah-10-5w-ava-plus-gn-05,5,giá tốt sài ok lắm ạ
sac-dtdd,pin-sac-du-phong-polymer-10000mah-10-5w-ava-plus-gn-05,5,ok
sac-dtdd,pin-sac-du-phong-polymer-10000mah-10-5w-ava-plus-gn-05,5,pin dùng tốt sạc oki
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,5,pin sử dụng sạc nhanh và sạc vào nhanh nhẹ và dể sử dụng
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,4,sạc có dây thì nhanh sạc k dây thì hơi chậm
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,3,sạc pin 5 mức nhưng dừng lại mức số 4 và k vào đc nữa
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,5,ok
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,5,ok
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,3,sạc đầy pin dự phòng xong sạc cho iphone 15 promax dung lượng khoảng 4422 mah sạc bằng cáp từ 20 lên 98 mất khoảng 1 tiếng hơn chưa được khoảng 80 dung lượng pin sạc không dây ốp máy từ 20 lên được 70 được khoảng 50 pin mất 3 giờ tất cả là tính từ khi pin dự phòng được sạc đầy và sạc cho thiết bị đến khi hết kiệt khí sạc pin cho thiết bị pin dự phòng khá nóng tóm lại là chỉ để sơ cua chống cháy khi cần thiết không nên dùng thường xuyên ốp vào iphone sẽ hại pin điện thoại vì bị sinh nhiệt cao nên ae cân nhắc nhé tạm ổn trong tầm giá chỉ chấm 3 sao cho nhất lượng đính chính lại nhận xét trên
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,5,sạc còn khá ok
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,3,sao gắn vào sạc điẹn thoại ko hiện vòng magsafe
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,3,mua về sạc dự phòng k có dây sạc để sạc mình phải lấy dây riêng của mình sạc nhưng không vào pin
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,3,sạc 20w chính hãng ip sạc 2 tiếng chưa dk 1 đèn báo pin nữa
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,4,sạc ổn
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,3,sạt pin vô chậm nóng đến nổi đt báo dừng sạt luôn không đủ cho iphone 11
sac-dtdd,sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,5,ok
